Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
193,7760,226,374.828,98.7878,186,66,0.586426,281.495,130.834,282.171,64.8377,468.161,66.7414,467.486,132.738
194,7800,226,374.833,99.0281,186,66,0.184962,281.727,131.728,281.94,65.728,467.939,66.3285,467.726,132.328
195,7840,223,376.26,98.3266,186,66,0.35043,283.06,130.757,283.464,64.7584,469.46,65.896,469.057,131.895
196,7880,223,379.548,99.2789,186,66,0.265845,286.396,131.847,286.702,65.8477,472.7,66.7107,472.394,132.71
197,7920,224,381.378,99.426,186,66,0.363803,288.17,131.835,288.589,65.8362,474.586,67.0172,474.167,133.016
198,7960,226,383.606,99.1601,186,66,0.448402,290.35,131.431,290.867,65.4333,476.861,66.889,476.345,132.887
199,8000,226,383.754,99.1652,186,66,0.300688,290.582,131.677,290.928,65.6776,476.926,66.6538,476.579,132.653
200,8040,226,384.987,98.1426,186,66,0.309425,291.81,130.64,292.166,64.6409,478.164,65.6453,477.807,131.644
201,8080,223,376.545,97.2176,186,66,0.709261,283.143,129.064,283.96,63.069,469.946,65.3714,469.129,131.366
202,8120,222,373.673,96.9602,186,66,0.948891,280.139,128.415,281.232,62.4246,467.207,65.5048,466.114,131.496
203,8160,223,370.471,97.4864,186,66,0.525332,277.172,129.632,277.777,63.6351,463.769,65.3404,463.164,131.338
204,8200,223,370.7,97.4187,186,66,0.559229,277.382,129.509,278.026,63.5125,464.017,65.3279,463.373,131.325
205,8240,223,368.083,97.6959,186,66,0.534619,274.779,129.827,275.395,63.8295,461.387,65.565,460.771,131.562
206,8280,224,377.443,95.6509,186,66,1.25096,283.745,126.613,285.186,60.6285,471.142,64.6891,469.701,130.673
207,8320,223,377.132,95.2468,186,66,1.21994,283.45,126.259,284.855,60.2743,470.813,64.2343,469.408,130.219
208,8360,223,376.578,96.7333,186,66,0.854607,283.096,128.342,284.08,62.3498,470.059,65.1241,469.075,131.117
209,8400,224,376.449,96.611,186,66,1.01592,282.878,127.957,284.048,61.9672,470.019,65.2651,468.849,131.255
210,8440,221,376.511,99.2939,186,66,0.806007,283.056,130.982,283.984,64.9889,469.966,67.6054,469.038,133.599
211,8480,227,378.275,100.441,186,66,0.779325,284.835,132.173,285.733,66.179,471.715,68.7089,470.818,134.703
212,8520,225,378.507,100.635,186,66,0.821481,285.044,132.299,285.99,66.3053,471.971,68.972,471.025,134.965
213,8560,224,374.914,102.324,186,66,0.781715,281.472,134.052,282.372,68.0583,468.355,70.5959,467.455,136.59
214,8600,224,374.792,102.229,186,66,1.00321,281.228,133.596,282.384,67.6062,468.355,70.8628,467.2,136.853
215,8640,230,371.727,103.005,186,66,0.947798,278.194,134.462,279.286,68.4714,465.26,71.5481,464.168,137.539
216,8680,231,366.18,104.138,186,66,0.810416,272.723,135.82,273.656,69.8262,459.638,72.457,458.704,138.45
217,8720,228,364.475,103.801,186,66,0.865754,270.987,135.392,271.984,69.3994,457.963,72.2098,456.965,138.202
